publisher_name,iati_organisation_identifier,organisation_type,country
Palladium International Ltd (UK),GB-COH-2394229,Private Sector,United Kingdom
Plan International Finland,FI-PRO-1498487-2,International NGO,Finland
Rutgers,NL-KVK-41193594,International NGO,Netherlands
Maxwell Stamp PLC,GB-COH-00637978,Private Sector,United Kingdom
African Academy of Sciences,KE-NCB-218-051-9341-334,International NGO,Kenya
LAMB Health Care Foundation,GB-CHC-1101217,National NGO,United Kingdom
PwC,GB-COH-03580586,Private Sector,United Kingdom
Link Community Development International,GB-CHC-1048007,International NGO,United Kingdom
The Convention on Business Integrity,NG-CAC-RC481360,International NGO,Nigeria
Landell Mills,GB-COH-1574821,Private Sector,United Kingdom
"Natural Resources Institute, University of Greenwich.",GB-COH-00986729,"Academic, Training and Research",United Kingdom
War Child Holland,NL-KVK-41215393,International NGO,Netherlands
Atos IT Services Ltd,GB-COH-01245534,Private Sector,United Kingdom
CARE Nederland,NL-KVK-41158230,International NGO,Netherlands
IOD PARC,GB-COH-03613839,Private Sector,United Kingdom
Clean Clothes Campaign,NL-KVK-41210820,International NGO,Netherlands
McKinsey & Company,GB-COH-FC012665,Private Sector,(No country assigned)
Aktis Strategy Ltd,GB-COH-08327972,Private Sector,United Kingdom
Dorcas Aid International,NL-KVK-41236410,International NGO,Netherlands
Millennium Challenge Corporation,US-GOV-18,Government,United States
Mama Cash,NL-KVK-41202535,Foundation,Netherlands
Simprints,GB-COH-8835431,International NGO,United Kingdom
Water Works,GB-CHC-1158206,International NGO,United Kingdom
PAX,NL-KVK-30214009,International NGO,Netherlands
DECP,NL-KVK-27284008,National NGO,Netherlands
Urgent Action Fund Latin America and the Caribbean,CO-CCB-00159397,Regional NGO,Colombia
Urgent Action Fund for Women's Human Rights,US-EIN-03-0419743,International NGO,United States
TEAR fund Nederland,NL-KVK-41177385,National NGO,Netherlands
SNV Netherlands Development Organisation,NL-KVK-41152786,International NGO,Netherlands
Stichting Kinderpostzegels Nederland,NL-KVK-41167934,International NGO,Netherlands
Just Associates,US-EIN-06-1597-668,International NGO,United States
Fight Hunger Foundation,IN-MHA-083781496,National NGO,India
Association for Women's Rights in Development (AWID),US-EIN-521291786,International NGO,United States
World Vision Netherlands,NL-KVK-41179943,Foundation,Netherlands
Save the Children Netherlands,NL-KVK-41201463,International NGO,Netherlands
IRC,NL-KVK-41151952,International NGO,Netherlands
United Nations Central Emergency Response Fund (CERF),XM-OCHA-CERF,Multilateral,United States
AWEPA,NL-KVK-34106722,International NGO,Netherlands
Simavi,NL-KVK-40594571,Foundation,Netherlands
Stichting Woord en Daad,NL-KVK-41118168,International NGO,Netherlands
Plan International Netherlands,NL-KVK-41198890,International NGO,Netherlands
The OPEC Fund for International Development (OFID),XI-IATI-OFID,Multilateral,Austria
The Commonwealth Secretariat,XI-IATI-CWSEC,Multilateral,(No country assigned)
Wemos Foundation,NL-KVK-41201644,International NGO,Netherlands
Promundo-US,US-EIN-26-1931968,International NGO,United States
Royal Tropical Institute,NL-KVK-33185213,International NGO,Netherlands
Stichting Health Action International,NL-KVK-41207580,Foundation,Netherlands
Fondo Centroamericano de Mujeres,NI-MIGOB-3602,Foundation,Nicaragua
UTZ,NL-KVK-34159275,International NGO,Netherlands
Aidsfonds - Soa Aids Nederland,NL-KVK-41207989,International NGO,Netherlands
African Centre for Global Health and Social Transformation,UG-RSB-73316,International NGO,Uganda
Family Aids Caring Trust,ZW-PVO-WO1789,National NGO,Zimbabwe
Liverpool School of Tropical Medicine,GB-CHC-222655,"Academic, Training and Research",United Kingdom
Urgent Action Fund-Africa,KE-NCB-200201282375,Regional NGO,Kenya
Aeras,US-EIN-522044704,International NGO,United States
ColaLife,GB-CHC-1142516,National NGO,United Kingdom
International Development Law Organization (IDLO),XM-DAC-47059,Multilateral,Italy
Mensen met een Missie,NL-KVK-41149831,National NGO,Netherlands
Netherlands Food Partnership,NL-KVK-30204842,Foundation,Netherlands
Defence for Children International Netherlands - ECPAT Netherlands,NL-KVK-41208813,National NGO,Netherlands
International Labour Organization (ILO),XM-DAC-41302,Multilateral,Switzerland
Netherlands Institute for Multiparty Democracy (NIMD),NL-KVK-27189542,International NGO,Netherlands
Milieudefensie,NL-KVK-40530467,National NGO,Netherlands
Friends of Publish What You Fund,US-EIN-47-4128047,International NGO,United States
Bangladesh Primary Care Respiratory Society,BD-ROC-S-12313,"Academic, Training and Research",Bangladesh
Healthy Entrepreneurs Foundation,NL-KVK-58183167,Foundation,Netherlands
Amref Health Africa in Kenya,KE-NCB-93175,International NGO,Kenya
Solidaridad Europe,NL-KVK-41150939,International NGO,Netherlands
The Uganda Association of Women Lawyers ( FIDA Uganda),UG-RSB-29587,National NGO,Uganda
CREA,US-EIN-31-1812979,International NGO,India
Free Press Unlimited,NL-KVK-52957535,International NGO,Netherlands
WASTE advisers on urban environment and development,NL-KVK-41172933,Foundation,Netherlands
SECOURS CATHOLIQUE - CARITAS FRANCE,FR-SIRET-77566669600015,International NGO,France
Disasters Emergency Committee,GB-CHC-1062638,National NGO,United Kingdom
Peace Brigades International,US-EIN-91-1179750,International NGO,United States
Netherlands Red Cross,NL-KVK-40409352,International NGO,Netherlands
International Climate Initiative / BMU - IKI Secretariat,XI-IATI-IKI,Government,Germany
Solidaridad,NL-KVK-51756811,International NGO,Netherlands
Fair Wear Foundation,NL-KVK-34111374,International NGO,Netherlands
Amnesty International The Netherlands,NL-KVK-40530953,International NGO,Netherlands
Mondiaal FNV,NL-KvK-41177601,National NGO,Netherlands
WNF Wereld Natuur Fonds,NL-KVK-41177588,International NGO,Netherlands
International Women's Development Agency,AU-ACNC-19242959685,International NGO,Australia
IUCN Nederlands Comité,NL-KVK-41180885,International NGO,Netherlands
Tropenbos International,NL-KVK-41155305,International NGO,Netherlands
Sonke Gender Justice,ZA-PBO-064-502,International NGO,South Africa
Red Cross Red Crescent Climate Centre,NL-KVK-27267681,International NGO,Netherlands
Wetlands International,NL-KVK-9099028,International NGO,(No country assigned)
Acid Survivors Foundation,PK-VSWA-511-2007,National NGO,Pakistan
CNV Internationaal,NL-KVK-54436222,National NGO,Netherlands
AECOM,GB-COH-01846493,Private Sector,United Kingdom
Institute of Tropical Medicine,BE-BCE_KBO-0410057701,Other Public Sector,Belgium
GALZ,ZW-ROD-2172,National NGO,Zimbabwe
Belgian development agency (Enabel),BE-BCE_KBO-0264814354,Government,Belgium
Centre for Economic Policy Research,GB-CHC-287287,National NGO,United Kingdom
SOS Children's Villages The Netherlands,NL-KVK-41197577,Foundation,Netherlands
HealthNet TPO,NL-KVK-41211943,International NGO,Netherlands
marysmeals,GB-SC-SCO45223,International NGO,United Kingdom
Afghanistan Public Policy Research Organization (APPRO),AF-MOE-1212,"Academic, Training and Research",Afghanistan
MannionDaniels,GB-COH-04105827,Private Sector,United Kingdom
APPRO-Europe,BE-GTCF-630789842,"Academic, Training and Research",Belgium
VNG International,NL-KVK-27195046,Other Public Sector,Netherlands
Amref Health Africa Headquarters,KE-RCO-C1-61,International NGO,Kenya
Wageningen University & Research - Stichting Wageningen Research,NL-KVK-09098104,"Academic, Training and Research",Netherlands
FMO,NL-KVK-27078545,Public Private Partnership,Netherlands
Social Development Direct Limited,GB-COH-03846881,Private Sector,United Kingdom
CABI,XI-IATI-CABI,Multilateral,(No country assigned)
BSR,US-EIN-52-1764268,International NGO,United States
Satellite Applications Catapult Ltd,GB-COH-07964746,Private Sector,United Kingdom
MedAccess Guarantee Limited,GB-COH-11080032,Private Sector,United Kingdom
COC Nederland,NL-KVK-40530156,National NGO,Netherlands
European Journalism Centre,NL-KVK-41078390,National NGO,Netherlands
Republic of Korea,KR-GOV-010,Government,Korea (Republic of)
Amref Health Africa in Ethiopia,ET-MFA-0001989741,International NGO,Ethiopia
IMC WORLDWIDE,GB-COH-02651349,Private Sector,United Kingdom
IPE Global Limited,IN-MCA-U74140DL1998PLC097579,Private Sector,India
Royal National Lifeboat Institution (RNLI),GB-CHC-209603,International NGO,United Kingdom
Cardno Emerging Markets,GB-COH-05543952,Private Sector,United Kingdom
Amref Health Africa Malawi,MW-NBM-R1527,National NGO,Malawi
WASH Alliance International,XI-IATI-WAI,International NGO,Netherlands
Stakeholder Democracy Network,GB-CHC-1148143,International NGO,United Kingdom
Sound Seekers Limited,GB-COH-04354941,International NGO,United Kingdom
One Acre Fund,US-DOS-64562614,International NGO,(No country assigned)
Baylor College of Medicine Children's Foundation Malawi,MW-CNM-BCM-CF,National NGO,Malawi
Amref Health Africa in Uganda,UG-NGB-5914-252,National NGO,Uganda
ODI,GB-CHC-228248,"Academic, Training and Research",United Kingdom
"IDH, the Sustainable Trade Initiative",NL-KVK-53521129,International NGO,Netherlands
Youth Net and Counselling - YONECO,MW-CNM-C076-1999,National NGO,Malawi
Ministry of Foreign and European Affairs of the Slovak Republic,XM-DAC-69-1,Government,Slovakia
Omidyar Network Fund Inc.,US-EIN-20-1173866,Foundation,United States
Cowater International Inc,CA-CRA_ACR-101182509,Private Sector,Canada
Natural Justice,ZA-NPO-057-611,Regional NGO,South Africa
Caritas Finland,FI-PRO-139407,National NGO,Finland
International Finance Corporation,XM-DAC-903,Multilateral,United States
IntraHealth International,US-EIN-550825466,International NGO,United States
Stichting Mayday Rescue Foundation,NL-KVK-855689493,Foundation,Netherlands
International Network of People who Use Drugs (INPUD),GB-COH-08828458,International NGO,United Kingdom
Global Alliance for TB Drug Development,US-EIN-13-4128413,"Academic, Training and Research",United States
Stichting Deltares,NL-KVK-41146461,Foundation,Netherlands
Norwegian People's Aid,NO-BRC-871033552,International NGO,Norway
The Queen Elizabeth Diamond Jubilee Trust,GB-CHC-1145640,Foundation,United Kingdom
Orbis Africa,ZA-PBO-930040668,International NGO,South Africa
Enhanced Integrated Framework,XM-DAC-1409,Multilateral,Switzerland
openmindedly,IM-CR-024714B,Private Sector,Isle of Man
Delivery Associates Ltd,GB-COH-08333641,Private Sector,United Kingdom
United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),XM-DAC-41110,Multilateral,Switzerland
Mainline,NL-KVK-41209946,Foundation,Netherlands
LTS International Limited,GB-COH-SC100833,Private Sector,United Kingdom
Human Relief Foundation,GB-CHC-1126281,International NGO,United Kingdom
International Initiative for Impact Evaluation,US-EIN-262681792,International NGO,United States
Search for Common Ground (SFCG),BE-BCE_KBO-0453975341,International NGO,Belgium
The International Rescue Committee,US-EIN-13-5660870,International NGO,United States
Burns Violence Survivors - Nepal,NP-SWC-27288,National NGO,Nepal
Social Accountability International,US-EIN-13-3960591,International NGO,United States
Women Peacemakers Program,NL-KVK-56083459,International NGO,Netherlands
Ecorys UK,GB-COH-01650169,Private Sector,United Kingdom
The Global Forum on MSM & HIV (MSMGF),US-EIN-471065461,International NGO,United States
Ipas,US-EIN-56-1071085,International NGO,United States
Women Environmental Programme,NG-CAC-495140,National NGO,Nigeria
DanChurchAid,DK-CVR-36980214,International NGO,Denmark
Global Network of People Living with HIV (GNP+),NL-KVK-41214768,International NGO,Netherlands
"World Wildlife Fund Inc, Bolivia Program Office",BO-NIT-1013209020,International NGO,Bolivia
Innovate UK KTN,GB-COH-08705643,Other Public Sector,United Kingdom
Global Network of Sex Work Projects (NSWP),GB-COH-SC349355,International NGO,United Kingdom
Max Foundation,NL-KVK-34219433,Foundation,Netherlands
INTERNATIONAL DISABILITY ALLIANCE,CH-FDJP-66029860165,International NGO,Switzerland
Disability Rights Advocacy Fund,US-EIN-27-5026463,International NGO,United States
Caritas Denmark,DK-CVR-29439915,National NGO,Denmark
Win Win Strategies,NL-KVK-66926262,International NGO,Netherlands
DAI Global Health,GB-COH-03054929,Private Sector,United Kingdom
BDO LLP,GB-COH-OC305127,Private Sector,United Kingdom
World Economic Forum,US-EIN-203908371,International NGO,United States
International Treatment Preparedness Coalition (ITPC),BW-CIPA-CO20151011,International NGO,Botswana
Amref Health Africa in Tanzania,TZ-BRLA-4368,International NGO,"Tanzania, United Republic of"
Women's Environment & Development Organization,US-EIN-52-1238773,International NGO,United States
Siren Associates,GB-COH-NI630024,Private Sector,United Kingdom
Construction Sector Transparency Initiative (CoST),GB-COH-8159144,International NGO,(No country assigned)
Stichting RNW Media,NL-KVK-32022621,International NGO,Netherlands
European Institute of Peace,BE-BCE_KBO-0550758080,Other Public Sector,Belgium
Atradius Dutch State Business,NL-KVK-33226495,Private Sector,Netherlands
CIVICUS World Alliance for Citizen Participation,ZA-NPO-029-864,International NGO,South Africa
Centre For Citizens With Disabilities,NG-CAC-IT-23286,National NGO,Nigeria
UN Pooled Funds,XI-IATI-UNPF,Multilateral,(No country assigned)
ACT Alliance,CH-FDJP-66006990023,International NGO,Switzerland
Kerk in Actie,NL-KVK-30258482,International NGO,Netherlands
International Network for Bamboo and Rattan (INBAR),XM-DAC-47064,Multilateral,(No country assigned)
Support Trust for Africa Development (STAD),NL-KVK-27251823,International NGO,Netherlands
Germany GIZ Non BMZ,XM-DAC-5-52,Other Public Sector,Germany
Ministère de l'Economie et des Finances du Bénin,XM-DAC-236,Government,Benin
COWI,DK-CVR-44623528,Other Public Sector,Denmark
AFEW International,NL-KVK-34148682,International NGO,Netherlands
International Union for Conservation of Nature and Natural Resources,XM-DAC-30011,Other Public Sector,Switzerland
Société Nationale des eaux du Bénin (SONEB),BJ-IFU-3200700033415,Other Public Sector,Benin
Arab foundation for freedoms and equality,LB-MOI-18291,Regional NGO,Lebanon
United States Agency for International Development (USAID),US-GOV-1,Government,United States
Integrity Research and Consultancy Ltd,GB-COH-07321996,Private Sector,United Kingdom
DCAF - Geneva Centre for Security Sector Governance,CH-FDJP-109458452,Foundation,Switzerland
Association for Progressive Communication,US-EIN-943287156,International NGO,United States
UHAI EASHRI,KE-RCO-201036685,Foundation,Kenya
People in Need,CZ-ICO-25755277,International NGO,Czechia
Coalition of African Lesbians (CAL),ZA-NPO-060766,International NGO,South Africa
Trias,BE-BCE_KBO-0427736148,National NGO,Belgium
Trocaire,IE-CHY-20009601,International NGO,Ireland
Global Innovation Fund,GB-CHC-1171353,International NGO,United Kingdom
ICF Consulting Services Ltd,GB-COH-04161656,Private Sector,United Kingdom
The National Association of Municipalities of Benin (ANCB),BJ-IFU-6201408024805,National NGO,Benin
Guttmacher Institute,US-EIN-13-2890727,International NGO,United States
Food and Agriculture Organization of the United Nations (FAO),XM-DAC-41301,Multilateral,Italy
Medair,CH-FDJP-106064950,International NGO,Switzerland
Giro555 (Stichting Samenwerkende Hulporganisaties),NL-KVK-27302841,International NGO,Netherlands
World Health Organization (WHO),XM-DAC-928,Multilateral,Switzerland
Girls Not Brides: The Global Partnership to End Child Marriage,GB-CHC-1154230,International NGO,United Kingdom
Stichting Nederlands Instituut voor Internationale Betrekkingen 'Clingendael',NL-KVK-41152832,"Academic, Training and Research",Netherlands
PUM Netherlands,NL-KVK-41160229,International NGO,Netherlands
World Federalist Movement - Institute for Global Policy,NL-KVK-41153698,International NGO,Netherlands
Meningitis Research Foundation,GB-CHC-1091105,International NGO,United Kingdom
Women's Global Network on Reproductive Rights,PH-SEC-FN200806591,International NGO,Philippines
IDEO.org,US-EIN-27-3755556,International NGO,United States
siiqqee Women's Development Association,ET-CSA-0081,National NGO,Ethiopia
World Economic Forum Geneva,CH-FDJP-66004229946,International NGO,Switzerland
Caritas International (Belgium),BE-BCE_KBO-0410644946,National NGO,Belgium
Helvetas Swiss Intercooperation,CH-FDJP-CHE105834763,International NGO,Switzerland
MVO Nederland,NL-KVK-30195730,Other Public Sector,Netherlands
DNH Mali (Direction Nationale de l’Hydraulique du Mali),ML-NIF-400100027H,Government,Mali
Near East Foundation (NEF USA),US-EIN-13-1624114,International NGO,United States
The Carter Center,US-EIN-58-1454716,International NGO,United States
International Child Development Initiatives,NL-KVK-41169161,International NGO,Netherlands
HiiL innovating Justice,NL-KVK-27290536,Foundation,Netherlands
Union of Agricultural Work Committees,PS-MOI-RA-22220-A,National NGO,"Palestine, State of"
Stichting VU Amsterdam - Amsterdam Centre for World Food Studies,NL-KVK-53815211,"Academic, Training and Research",Netherlands
Ethiopian Horticulture Producer Exporters Association (EHPEA),ET-MOT-020/4/007,National NGO,Ethiopia
International Bureau of Fiscal Documentation (IBFD),NL-KVK-41197411,"Academic, Training and Research",Netherlands
United Work,NL-KVK-67143555,National NGO,Netherlands
UNICEF Netherlands National Committee,NL-KVK-27102631,National NGO,Netherlands
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,XM-DAC-6-4,Government,Italy
Climate Policy Initiative,US-EIN-26-4129153,"Academic, Training and Research",United States
YMCA of Liberia,LR-MPEA-NGO-AC-0298,National NGO,Liberia
TradeMark East Africa,KE-RCO-CPR/2009/5689,Regional NGO,Kenya
Local Development and Small Projects Support,TR-MOI-27-018-163,National NGO,Turkey
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),BE-BCE_KBO-0418766123,"Academic, Training and Research",Belgium
Development Expertise Center,ET-CSA-0009,National NGO,Ethiopia
Fundación Fondo Mujeres del Sur,AR-CENOC-16969-A,Foundation,Argentina
United Nations Foundation,US-EIN-58-2368165,National NGO,United States
International IDEA,XM-DAC-47058,Multilateral,Sweden
IHE Delft Institute for Water Education,NL-KVK-41146484,"Academic, Training and Research",Netherlands
TechnoServe,US-EIN-13-2626135,International NGO,United States
Administração de Infra-Estruturas de Águas e Saneamento,MZ-NUIT-700098168,Government,Mozambique
Caribbean Development Bank (CDB),XM-DAC-46009,Multilateral,(No country assigned)
Women's Refugee Commission,US-EIN-463668128,International NGO,United States
Agência de Desenvolvimento do Vale do Zambeze,MZ-NUIT-50039061,Government,Mozambique
Conflict Dynamics International,US-EIN-56-2460366,International NGO,United States
University of Leeds,GB-COH-RC000658,"Academic, Training and Research",United Kingdom
Mulanje Mission Hospital,MW-MRA-20125995,National NGO,Malawi
International NGO Safety Orgnisation,GB-CHC-1140276,International NGO,United Kingdom
Palliative Care Support Trust,MW-RG-2977,National NGO,Malawi
Ethiopiaid UK,GB-CHC-802353,International NGO,United Kingdom
Access to Seeds Foundation,NL-KVK-70292361,International NGO,Netherlands
Oxfam Solidarité-Solidariteit,BE-BCE_KBO-0408643875,National NGO,Belgium
CLASP,US-EIN-33-1112770,International NGO,United States
United Nations Environment Programme (UNEP),XM-DAC-41116,Multilateral,(No country assigned)
The Access to Nutrition Foundation,NL-KVK-58279199,International NGO,Netherlands
International Network for Advancing Science and Policy,GB-CHC-1106349,International NGO,United Kingdom
Population Services and Training Centre (PSTC),BD-NAB-1102,National NGO,Bangladesh
Horizons for Green Development,JO-CCD-200138796,National NGO,Jordan
Handicap International UK,GB-CHC-1082565,"Academic, Training and Research",United Kingdom
Send a Cow Ethiopia,ET-CSA-0638,National NGO,Ethiopia
Caritas Serbia,RS-APR-17062603,National NGO,(No country assigned)
Netherlands Commission for Environmental Assessment,NL-KVK-41185216,Foundation,Netherlands
Oxfam America,US-EIN-23-7069110,International NGO,United States
Kesho Kenya,KE-NCB-218/051/15179/10159,National NGO,Kenya
Ananda Marga Universal Relief Team (AMURT) Africa,KE-NCB-OP21805193101154,National NGO,Kenya
Pastoralist Girls Initiative,KE-NCB-KENCBOP218051200802235390,National NGO,Kenya
Berytech Foundation,LB-MOI-26_AD,Foundation,Lebanon
Stichting Wings For Aid Foundation,NL-KVK-64680029,Foundation,Netherlands
Nuffic,NL-KVK-41150085,"Academic, Training and Research",Netherlands
ONG ALCRER,BJ-IFU-6201200599008,National NGO,Benin
Diakonia (Sweden),SE-ON-802017-3517,International NGO,Sweden
Social Watch Benin,BJ-IFU-6201101048400,National NGO,Benin
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",GB-GOV-13,Government,United Kingdom
"The Population Council, Inc.",US-EIN-13-1687001,"Academic, Training and Research",United States
Panos Institute West Africa (PIWA),SN-NINEA-621108990A0,International NGO,Senegal
Prince Claus Fund,NL-KVK-41159889,International NGO,Netherlands
African Center for Economic Transformation (ACET),US-EIN-11-3803281,Regional NGO,United States
The Power of Nutrition,GB-COH-09288843,Foundation,United Kingdom
Danish Refugee Council,DK-CVR-20699310,International NGO,Denmark
Amnesty International UK Section Charitable Trust,GB-CHC-1051681,International NGO,United Kingdom
University of Birmingham,GB-EDU-133784,"Academic, Training and Research",United Kingdom
CARE International in Zimbabwe,ZW-PVO-15/2003,International NGO,Zimbabwe
World Resources Institute,US-EIN-521257057,International NGO,United States
United Disabled Persons of Kenya,KE-RSO-14210,National NGO,Kenya
Memisa,BE-BCE_KBO-0435563751,"Academic, Training and Research",Belgium
World Vision Zimbabwe,ZW-PVO-26/79,International NGO,Zimbabwe
World Waternet,NL-KVK-34271281,Foundation,Netherlands
Ecorys Nederland B.V.,NL-KVK-24316726,Private Sector,Netherlands
Global Green Growth Institute (GGGI),XM-DAC-47136,Multilateral,(No country assigned)
Collectif Stratégies Alimentaires,BE-BCE_KBO-0448755949,National NGO,Belgium
University of Amsterdam,NL-KVK-34370207,"Academic, Training and Research",Netherlands
The Hunger Project Netherlands,NL-KVK-41201198,International NGO,Netherlands
VVSG - Vereniging van Vlaamse Steden en Gemeenten,BE-BCE_KBO-0451857573,Other Public Sector,Belgium
SOS FAIM - SOS HUNGER,BE-BCE_KBO-0425410524,National NGO,Belgium
Wolayita Development Association,ET-CSA-0486,"Academic, Training and Research",Ethiopia
VVOB Education for Development,BE-BCE_KBO-0423616717,Other Public Sector,Belgium
Autre Terre asbl,BE-BCE_KBO-0423588904,"Academic, Training and Research",Belgium
Ngo-federatie (Vlaamse federatie van ngo's voor ontwikkelingssamenwerking),BE-BCE_KBO-0449400604,National NGO,Belgium
War Child Canada,CA-CRA_ACR-872374426,International NGO,Canada
Federation of Women Lawyers Kenya,KE-NCB-218/051/93132/90,National NGO,Kenya
PricewaterhouseCoopers Private Limited India,IN-MCA-U74140WB1983PTC036093,Private Sector,India
Orbis Ethiopia,ET-CSA-1063,National NGO,Ethiopia
Centre Tricontinental - CETRI,BE-BCE_KBO-0461076236,National NGO,Belgium
Entraide et Fraternité,BE-BCE_KBO-0418015461,National NGO,Belgium
Save the Children International,GB-CHC-1076822,International NGO,United Kingdom
Louvain Coopération,BE-BCE_KBO-0422717486,National NGO,Belgium
Brulocalis,BE-BCE_KBO-0451516390,Other Public Sector,Belgium
Centre National de Coopération au Développement (CNCD-11.11.11),BE-BCE_KBO-0421207751,National NGO,Belgium
Viva Salud,BE-BCE_KBO-0418282311,National NGO,Belgium
Oxfam-Magasins du monde (omdm),BE-BCE_KBO-0416486821,National NGO,Belgium
Union des Villes et Communes de Wallonie (UVCW),BE-BCE_KBO-0451461655,Other Public Sector,Belgium
OCHA Country Based Pooled Funds,XM-OCHA-CBPF,Multilateral,(No country assigned)
Association for Cultural Technical and Educational Cooperation (ACTEC),BE-BCE_KBO-0424198222,National NGO,Belgium
Iles de Paix,BE-BCE_KBO-0408908151,National NGO,Belgium
Center for Research on Environment Health and Population Activities (CREHPA),NP-SWC-1844,National NGO,Nepal
Orbis International,US-EIN-237297651,International NGO,United States
Africalia,BE-BCE_KBO-0474198059,Other Public Sector,Belgium
Tearfund VZW (TFBE),BE-BCE_KBO-0419872616,National NGO,Belgium
Wereldsolidariteit-Solidarité Mondiale (WSM),BE-BCE_KBO-0413986102,National NGO,Belgium
Academy for Health Development (AHEAD),NG-CAC-692943,"Academic, Training and Research",Nigeria
Rode Kruis-Vlaanderen Internationaal vzw,BE-BCE_KBO-0461634084,National NGO,Belgium
SCI Projets Internationaux ASBL_Service Civil International branche belge,BE-BCE_KBO-0410661673,National NGO,Belgium
Fonds voor Ontwikkelingssamenwerking - Socialistische Solidariteit VZW,BE-BCE_KBO-0432552989,National NGO,Belgium
Institute for International Workers Education,BE-BCE_KBO-0445412518,National NGO,Belgium
Aga Khan Foundation Afghanistan,AF-MOE-138,Foundation,Afghanistan
ULB-Coopération,BE-BCE_KBO-0415627875,National NGO,Belgium
NIRAS A/S,DK-CVR-37295728,Private Sector,Denmark
GOGLA - Global Off-Grid Lighting Association,NL-KVK-62066064,Private Sector,Netherlands
African Population and Health Research Center,US-EIN-06-1608361,International NGO,United States
Enfance Tiers Monde Kinderen Derde Wereld,BE-BCE_KBO-0409451054,National NGO,Belgium
Women's Action Group,ZW-ROD-MA988/87,National NGO,Zimbabwe
SOS Kinderdorpen België / SOS Villages d'Enfants Belgique,BE-BCE_KBO-0408628435,International NGO,Belgium
EngenderHealth Ethiopia,ET-CSA-1233,International NGO,Ethiopia
Chemonics International Inc.,US-EIN-52-2145827,Private Sector,United States
Fairtrade Belgium,BE-BCE_KBO-0441988715,National NGO,Belgium
ABAAD - Resource Center for Gender Equality,LB-MOI-497,National NGO,Lebanon
People's Process on Housing and Poverty in Zambia,ZM-PCR-10104052014,International NGO,Zambia
Sensorial Handicap Cooperation,BE-BCE_KBO-0431955945,"Academic, Training and Research",Belgium
Association pour la Promotion de l'Education et de la Formation à l'Etranger,BE-BCE_KBO-0415880570,Other Public Sector,Belgium
Défi Belgique Afrique,BE-BCE_KBO-0433439550,National NGO,Belgium
Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,BE-BCE_KBO-0463455904,National NGO,Belgium
Handicap International Belgique,BE-BCE_KBO-0432235661,National NGO,Belgium
Miel Maya Honing asbl,BE-BCE_KBO-0415426155,National NGO,Belgium
Access to Medicine Foundation,NL-KVK-34185938,Foundation,Netherlands
VETERINAIRES SANS FRONTIERES / DIERENARTSEN ZONDER GRENZEN - BELGIUM,BE-BCE_KBO-0442168263,National NGO,Belgium
Rotary Clubs For Development,BE-BCE_KBO-0419189557,National NGO,Belgium
RCN Justice & Démocratie,BE-BCE_KBO-0454555163,National NGO,Belgium
Medecins du Monde Belgique - Dokters van de Wereld Belgïe,BE-BCE_KBO-0460162753,National NGO,Belgium
VIA Don Bosco,BE-BCE_KBO-0413119733,National NGO,Belgium
Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL,BE-BCE_KBO-0462132150,National NGO,Belgium
Djapo,BE-BCE_KBO-0408022778,National NGO,Belgium
Rikolto in Belgium,BE-BCE_KBO-0420656336,National NGO,Belgium
Unicef Belgium National Committee,BE-BCE_KBO-0407562029,National NGO,Belgium
Rikolto,BE-BCE_KBO-0662878501,Foundation,Belgium
Broederlijk Delen,BE-BCE_KBO-0418088113,National NGO,Belgium
Protos,BE-BCE_KBO-0417299047,National NGO,Belgium
Studio Globo,BE-BCE_KBO-0479866027,"Academic, Training and Research",Belgium
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,BE-BCE_KBO-0478060441,National NGO,Belgium
BOS+ tropen,BE-BCE_KBO-0479222461,National NGO,Belgium
FIAN Belgium,BE-BCE_KBO-0432622077,National NGO,Belgium
Benelux Afro Center,BE-BCE_KBO-0463729878,National NGO,Belgium
Solsoc,BE-BCE_KBO-0432624255,National NGO,Belgium
Auto-Développement Afrique (ADA),BE-BCE_KBO-0408095925,National NGO,Belgium
Asociación Profamilia,CO-RUE-860013779-5,Private Sector,Colombia
Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL,BE-BCE_KBO-0416934803,National NGO,Belgium
COMMISSION JUSTICE ET PAIX ASBL (cjp),BE-BCE_KBO-0418399305,National NGO,Belgium
World Wide Fund for Nature Belgium (WWF-BE),BE-BCE_KBO-0408656248,National NGO,Belgium
GEOMOUN ASBL,BE-BCE_KBO-0472089102,National NGO,Belgium
Congodorpen vzw,BE-BCE_KBO-0408256667,National NGO,Belgium
Agulhas Applied Knowledge,GB-COH-04644326,Private Sector,United Kingdom
FONCABA ASBL KBA VZW,BE-BCE_KBO-0409597544,National NGO,Belgium
Eclosio,BE-BCE_KBO-0432503697,National NGO,Belgium
